user_id,age,sexe,situation_familiale,nombre_enfants,revenu_mensuel,budget_max,usage_principal,distance_journaliere_km,prefere_electrique,carrosserie_preferee,energie_preferee,boite_preferee,importance_consommation,importance_performance,importance_confort,importance_prix
25,65,Femme,Divorcé(e),0,6426,171007,Autoroute,135,0,Berline,Essence,Manuelle,3,3,4,5
26,46,Homme,Célibataire,0,3105,89228,Montagne,36,1,SUV,Electrique,Manuelle,1,3,5,3
27,41,Femme,Marié(e),1,3170,55620,Désert,78,0,Pick up,Diesel,Manuelle,4,5,1,3
28,49,Femme,Célibataire,0,2838,87622,Sport,65,1,Coupé,Essence,Manuelle,5,5,3,1
29,36,Homme,Célibataire,0,13516,432441,Ville,42,0,Compacte,Hybride,Automatique,4,4,4,2
30,28,Femme,Célibataire,0,2802,44844,Campagne,86,1,SUV,Hybride,Automatique,4,5,5,5
31,61,Femme,Marié(e),2,11278,270687,Sport,78,1,Coupé,Electrique,Manuelle,2,3,4,1
32,37,Femme,Célibataire,0,1517,40000,Montagne,124,1,SUV,Diesel,Automatique,4,4,3,5
33,25,Homme,Marié(e),1,14896,229258,Sport,142,0,Cabriolet,Hybride,Automatique,3,3,4,4
34,53,Homme,Célibataire,0,2556,75360,Sport,26,1,Cabriolet,Diesel,Automatique,4,5,5,1
35,30,Femme,Célibataire,0,2762,59484,Sport,143,1,Cabriolet,Electrique,Manuelle,3,1,4,1
36,25,Femme,Célibataire,0,4160,125152,Campagne,149,0,SUV,Essence,Automatique,2,2,4,1
37,51,Femme,Marié(e),1,1369,41830,Campagne,55,0,Pick up,Essence,Automatique,3,5,4,4
38,59,Homme,Célibataire,0,13338,414952,Sport,8,1,Coupé,Electrique,Manuelle,3,1,5,3
39,48,Femme,Célibataire,1,2783,81113,Désert,87,1,SUV,Electrique,Manuelle,4,4,5,3
40,37,Homme,Célibataire,0,12837,349251,Désert,95,1,Pick up,Essence,Manuelle,3,2,4,2
41,43,Femme,Marié(e),2,941,40000,Campagne,130,1,SUV,Diesel,Manuelle,4,5,2,4
42,23,Homme,Célibataire,0,3282,73452,Plage,74,1,Minibus,Electrique,Manuelle,5,3,3,4
43,41,Femme,Célibataire,0,3094,105250,Montagne,77,0,SUV,Diesel,Automatique,4,3,5,5
44,34,Femme,Célibataire,0,3087,54120,Ville,77,1,Citadine,Electrique,Automatique,4,1,1,5
45,52,Femme,Célibataire,0,2856,49356,Ville,149,1,Compacte,Hybride,Automatique,5,1,2,2
46,27,Homme,Célibataire,0,3433,66990,Plage,150,0,Pick up,Hybride,Manuelle,3,5,4,3
47,61,Homme,Divorcé(e),0,1232,40000,Campagne,125,1,Utilitaire,Essence,Automatique,1,4,4,5
48,24,Homme,Célibataire,0,4667,134165,Autoroute,73,0,Cabriolet,Diesel,Manuelle,1,5,2,2
49,26,Homme,Célibataire,0,12826,428694,Désert,131,1,SUV,Hybride,Manuelle,4,3,5,5
50,27,Homme,Marié(e),2,1005,40000,Montagne,76,1,SUV,Electrique,Automatique,2,4,5,4
51,33,Femme,Marié(e),2,2325,53863,Autoroute,145,0,SUV,Diesel,Manuelle,4,4,3,4
52,51,Homme,Célibataire,0,10123,326954,Sport,132,1,Coupé,Hybride,Manuelle,1,2,5,3
53,25,Homme,Célibataire,0,2885,50281,Montagne,28,0,SUV,Diesel,Manuelle,5,1,5,4
54,29,Femme,Divorcé(e),1,2095,52746,Autoroute,103,0,Pick up,Hybride,Manuelle,2,4,5,2
55,60,Homme,Marié(e),1,10299,224492,Sport,43,1,Cabriolet,Essence,Manuelle,3,5,5,4
56,56,Femme,Célibataire,0,2765,93061,Sport,126,1,Coupé,Diesel,Manuelle,2,4,1,3
57,46,Homme,Célibataire,0,3317,71779,Ville,24,1,Compacte,Essence,Manuelle,1,2,4,2
58,38,Femme,Marié(e),1,2245,71945,Sport,65,1,Cabriolet,Electrique,Manuelle,5,1,5,1
59,62,Femme,Divorcé(e),2,1303,40000,Montagne,19,1,SUV,Hybride,Automatique,3,1,1,3
60,44,Femme,Célibataire,0,1637,40000,Ville,70,1,Compacte,Diesel,Manuelle,5,2,2,4
61,38,Homme,Marié(e),2,3138,56984,Désert,103,1,Pick up,Electrique,Manuelle,3,4,3,2
62,52,Homme,Célibataire,0,2109,40000,Sport,78,1,Cabriolet,Electrique,Automatique,5,1,5,4
63,36,Femme,Célibataire,0,1460,40244,Montagne,28,1,SUV,Electrique,Manuelle,1,5,3,2
64,40,Femme,Marié(e),1,3109,101133,Autoroute,34,1,Minibus,Electrique,Automatique,3,4,3,3
65,51,Homme,Célibataire,1,14550,503413,Sport,121,1,Cabriolet,Essence,Manuelle,1,3,5,1
66,65,Femme,Marié(e),3,5276,150348,Désert,34,1,SUV,Electrique,Automatique,1,4,3,4
67,30,Homme,Divorcé(e),0,1298,40000,Plage,44,1,Compacte,Hybride,Manuelle,3,5,4,5
68,63,Homme,Marié(e),2,8084,126549,Autoroute,144,1,Utilitaire,Hybride,Manuelle,2,3,1,3
69,25,Femme,Célibataire,1,10951,184343,Campagne,57,0,Utilitaire,Essence,Automatique,3,2,2,5
70,57,Homme,Marié(e),3,1504,46282,Plage,33,1,SUV,Electrique,Automatique,2,5,3,2
71,64,Homme,Célibataire,0,13148,282358,Campagne,126,1,Pick up,Essence,Automatique,4,5,1,1
72,45,Homme,Célibataire,0,3035,63833,Montagne,118,0,SUV,Essence,Manuelle,4,4,1,4
73,27,Femme,Marié(e),0,3493,93288,Montagne,30,0,Pick up,Hybride,Manuelle,4,5,5,4
74,63,Homme,Célibataire,0,2757,63340,Montagne,126,1,SUV,Electrique,Manuelle,3,3,3,2
75,26,Homme,Marié(e),0,2426,75777,Plage,78,1,Berline,Electrique,Automatique,4,3,4,1
76,60,Femme,Célibataire,0,2875,56019,Ville,148,1,Compacte,Electrique,Automatique,3,5,2,4
77,61,Homme,Marié(e),2,1018,40000,Montagne,107,1,Pick up,Electrique,Manuelle,1,2,2,5
78,26,Homme,Marié(e),4,3072,59297,Désert,26,1,Monospace,Electrique,Automatique,3,3,3,5
79,25,Homme,Célibataire,0,2014,48058,Désert,93,1,Pick up,Hybride,Manuelle,3,2,5,1
80,29,Femme,Marié(e),2,2163,40000,Désert,79,1,SUV,Essence,Automatique,3,2,2,3
81,29,Homme,Célibataire,0,3081,89575,Plage,122,1,Minibus,Electrique,Automatique,4,1,4,1
82,26,Femme,Marié(e),2,10344,215054,Désert,116,1,SUV,Electrique,Automatique,5,4,3,1
83,28,Homme,Célibataire,0,2170,64917,Campagne,54,1,Pick up,Diesel,Automatique,5,1,5,5
84,44,Homme,Célibataire,0,3367,60799,Sport,149,1,Coupé,Diesel,Manuelle,4,5,5,4
85,62,Femme,Célibataire,0,2140,66182,Plage,19,1,Berline,Electrique,Automatique,3,4,4,1
86,45,Femme,Célibataire,0,13577,364971,Désert,126,0,Pick up,Essence,Manuelle,5,2,3,5
87,25,Femme,Célibataire,0,1245,40000,Campagne,45,1,SUV,Diesel,Manuelle,4,5,5,5
88,45,Femme,Célibataire,0,1114,40000,Montagne,69,0,Pick up,Essence,Manuelle,1,5,4,3
89,43,Homme,Marié(e),0,2505,44035,Montagne,113,1,SUV,Electrique,Manuelle,3,2,5,1
90,54,Femme,Célibataire,0,9099,308941,Désert,134,0,SUV,Diesel,Automatique,2,1,3,1
91,64,Femme,Marié(e),2,1531,40000,Sport,77,1,Coupé,Hybride,Automatique,4,3,2,4
92,36,Homme,Célibataire,0,1694,40000,Plage,46,0,Monospace,Hybride,Manuelle,4,5,5,4
93,60,Homme,Marié(e),0,2420,63139,Ville,42,1,Citadine,Electrique,Automatique,2,3,4,5
94,49,Homme,Divorcé(e),0,2331,78343,Désert,62,0,SUV,Hybride,Manuelle,2,4,1,3
95,42,Homme,Marié(e),2,5755,90733,Sport,9,1,Cabriolet,Diesel,Manuelle,4,5,1,1
96,35,Homme,Marié(e),2,1355,41359,Campagne,21,0,Pick up,Essence,Automatique,2,4,5,4
97,53,Homme,Marié(e),2,8273,195116,Plage,22,0,Coupé,Diesel,Manuelle,2,1,5,3
98,46,Femme,Célibataire,0,966,40000,Ville,95,1,Compacte,Diesel,Automatique,5,3,2,1
99,63,Homme,Marié(e),2,11341,313405,Sport,56,0,Coupé,Essence,Manuelle,1,3,2,1
100,42,Femme,Marié(e),4,1937,40000,Montagne,99,1,SUV,Electrique,Manuelle,1,3,3,1
101,49,Femme,Marié(e),3,1665,41498,Désert,51,1,Monospace,Electrique,Automatique,4,1,4,5
102,56,Femme,Célibataire,0,2155,51543,Montagne,116,1,Pick up,Diesel,Manuelle,3,4,1,3
103,62,Homme,Célibataire,0,1555,52956,Campagne,97,1,Utilitaire,Hybride,Automatique,2,1,2,3
104,58,Homme,Marié(e),2,9596,229140,Ville,34,0,Cabriolet,Diesel,Manuelle,4,3,3,2
105,33,Femme,Marié(e),3,1966,57172,Campagne,120,1,Minibus,Electrique,Manuelle,2,1,2,1
106,33,Femme,Divorcé(e),2,8737,247753,Montagne,62,1,SUV,Electrique,Manuelle,2,2,3,5
107,29,Homme,Marié(e),1,2378,62019,Autoroute,139,1,Monospace,Diesel,Automatique,1,3,4,4
108,48,Homme,Célibataire,0,2808,80314,Autoroute,137,0,Compacte,Diesel,Automatique,4,5,1,1
109,41,Homme,Célibataire,1,3025,99518,Sport,141,1,Coupé,Electrique,Automatique,5,3,2,3
110,27,Homme,Marié(e),2,3457,101679,Plage,58,1,Coupé,Essence,Automatique,1,1,5,3
111,61,Homme,Célibataire,0,2137,52696,Sport,111,1,Cabriolet,Electrique,Manuelle,1,1,2,4
112,52,Femme,Célibataire,0,2207,65512,Sport,86,0,Cabriolet,Hybride,Automatique,3,5,5,1
113,51,Homme,Célibataire,0,2088,70799,Sport,45,1,Cabriolet,Diesel,Automatique,3,5,3,2
114,54,Femme,Célibataire,0,2510,63023,Campagne,125,1,SUV,Electrique,Automatique,1,3,4,5
115,40,Homme,Marié(e),1,9493,287420,Autoroute,146,1,Berline,Hybride,Automatique,5,5,2,3
116,26,Femme,Marié(e),3,3452,98754,Ville,41,0,SUV,Essence,Manuelle,3,3,5,3
117,60,Femme,Marié(e),0,2264,70363,Plage,105,1,Monospace,Diesel,Automatique,3,5,3,2
118,59,Femme,Marié(e),2,3205,67291,Sport,11,1,Coupé,Electrique,Manuelle,1,4,5,3
119,60,Femme,Célibataire,0,12978,344600,Montagne,67,0,SUV,Hybride,Automatique,5,5,4,2
120,58,Homme,Célibataire,0,2591,74646,Désert,127,1,Pick up,Essence,Automatique,5,2,5,3
121,42,Homme,Célibataire,0,1982,53913,Campagne,130,1,SUV,Electrique,Manuelle,2,3,3,2
122,42,Femme,Célibataire,1,7981,165651,Plage,78,0,Minibus,Hybride,Manuelle,3,2,3,1
123,44,Femme,Marié(e),2,3106,63432,Plage,17,0,Citadine,Diesel,Automatique,5,5,2,2
124,62,Homme,Célibataire,0,5148,147355,Campagne,87,1,SUV,Diesel,Manuelle,4,4,2,3
125,63,Homme,Divorcé(e),0,3091,92030,Sport,52,1,Coupé,Diesel,Manuelle,2,1,4,4
126,24,Homme,Célibataire,0,8990,186014,Montagne,46,1,Pick up,Diesel,Manuelle,3,2,1,3
127,63,Femme,Marié(e),0,2108,55557,Sport,107,0,Coupé,Diesel,Manuelle,4,5,3,1
128,33,Homme,Célibataire,1,2471,48704,Sport,97,1,Cabriolet,Electrique,Manuelle,5,5,1,3
129,37,Homme,Marié(e),2,2958,98980,Montagne,39,1,Pick up,Essence,Manuelle,3,5,2,2
130,31,Femme,Marié(e),2,3149,104722,Sport,24,0,Coupé,Diesel,Automatique,5,4,5,3
131,25,Homme,Marié(e),0,3031,72249,Montagne,38,1,SUV,Hybride,Automatique,5,4,1,4
132,51,Homme,Marié(e),2,989,40000,Sport,143,0,Coupé,Diesel,Automatique,1,4,3,1
133,26,Femme,Célibataire,0,14011,484313,Montagne,143,1,Pick up,Electrique,Manuelle,4,4,4,1
134,30,Femme,Célibataire,1,1421,42000,Campagne,102,0,SUV,Essence,Manuelle,4,5,4,5
135,37,Femme,Célibataire,0,5349,83681,Montagne,13,1,Pick up,Essence,Automatique,2,1,1,5
136,60,Homme,Célibataire,0,3110,60164,Sport,87,0,Coupé,Diesel,Manuelle,2,5,3,5
137,41,Homme,Divorcé(e),1,2027,40000,Plage,86,1,Compacte,Hybride,Manuelle,1,3,4,5
138,48,Homme,Célibataire,0,1887,60359,Autoroute,140,0,Compacte,Hybride,Automatique,5,4,4,5
139,46,Homme,Célibataire,0,2742,87586,Ville,23,0,Citadine,Essence,Manuelle,4,5,5,1
140,59,Homme,Célibataire,0,962,40000,Campagne,66,1,Utilitaire,Essence,Manuelle,2,5,2,4
141,40,Femme,Célibataire,0,2373,59933,Désert,110,0,Pick up,Essence,Manuelle,3,2,3,3
142,58,Homme,Marié(e),0,3292,87510,Désert,67,1,Pick up,Diesel,Automatique,3,2,4,5
143,57,Femme,Célibataire,0,14014,417503,Désert,143,1,SUV,Electrique,Automatique,2,5,4,2
144,63,Homme,Marié(e),3,1098,40000,Désert,121,1,SUV,Diesel,Automatique,2,1,2,5
145,25,Femme,Marié(e),0,2584,40000,Plage,29,1,Citadine,Electrique,Automatique,5,4,2,1
146,55,Homme,Célibataire,0,2351,47834,Désert,81,1,SUV,Electrique,Manuelle,4,5,2,2
147,65,Homme,Marié(e),3,5032,116267,Désert,116,1,Minibus,Hybride,Automatique,1,2,1,4
148,58,Homme,Marié(e),3,3221,78946,Ville,41,1,SUV,Electrique,Automatique,2,3,1,2
149,47,Homme,Célibataire,0,2493,71151,Plage,30,1,Coupé,Hybride,Automatique,1,5,3,1
150,36,Homme,Célibataire,0,10000,343784,Autoroute,101,1,Berline,Electrique,Manuelle,4,2,3,5
151,49,Homme,Marié(e),2,3433,71775,Campagne,104,1,Utilitaire,Essence,Automatique,3,2,4,2
152,45,Homme,Célibataire,1,2004,40000,Ville,31,0,Compacte,Hybride,Manuelle,5,5,5,4
153,27,Femme,Marié(e),2,9812,149601,Désert,48,0,Pick up,Essence,Automatique,5,5,2,4
154,39,Femme,Célibataire,0,2030,47546,Désert,55,1,SUV,Electrique,Manuelle,2,4,5,5
155,51,Homme,Célibataire,0,3440,77736,Sport,87,0,Cabriolet,Hybride,Manuelle,4,5,2,3
156,52,Femme,Célibataire,0,3492,86671,Plage,149,1,Utilitaire,Electrique,Manuelle,3,4,3,1
157,34,Homme,Marié(e),2,11064,374621,Campagne,66,1,Pick up,Electrique,Automatique,4,4,2,3
158,38,Homme,Marié(e),3,3349,82334,Désert,32,0,Minibus,Hybride,Automatique,3,5,5,1
159,64,Femme,Célibataire,0,2536,87076,Autoroute,137,0,Pick up,Essence,Automatique,1,3,2,5
160,50,Femme,Célibataire,0,2949,53125,Ville,94,1,Compacte,Essence,Manuelle,4,1,1,2
161,43,Femme,Marié(e),2,1299,40000,Montagne,92,1,Pick up,Electrique,Automatique,3,1,1,1
162,63,Homme,Marié(e),1,7497,189823,Plage,52,1,Compacte,Electrique,Manuelle,4,2,4,2
163,62,Femme,Célibataire,0,10866,291687,Désert,142,0,SUV,Diesel,Automatique,3,1,5,1
164,45,Femme,Célibataire,0,2904,74209,Montagne,122,0,Pick up,Hybride,Manuelle,5,1,3,3
165,65,Femme,Divorcé(e),1,2182,40000,Autoroute,40,1,SUV,Diesel,Manuelle,2,5,4,4
166,49,Homme,Célibataire,0,6339,165436,Désert,96,0,Pick up,Diesel,Automatique,3,4,5,1
167,53,Homme,Célibataire,0,2927,67855,Désert,61,1,Pick up,Hybride,Manuelle,2,1,5,1
168,24,Femme,Célibataire,0,12768,381129,Sport,15,1,Cabriolet,Essence,Automatique,3,5,3,5
169,56,Homme,Divorcé(e),0,7556,158329,Ville,58,1,Compacte,Electrique,Manuelle,1,4,1,2
170,59,Femme,Marié(e),2,3423,60877,Campagne,48,1,SUV,Essence,Manuelle,5,3,5,5
171,40,Femme,Marié(e),4,1290,40000,Sport,87,0,Monospace,Essence,Manuelle,2,2,2,2
172,65,Femme,Célibataire,0,2596,58418,Ville,5,0,Citadine,Hybride,Manuelle,3,4,4,3
173,51,Femme,Marié(e),3,2659,83750,Désert,149,1,Monospace,Electrique,Manuelle,3,5,5,2
174,53,Femme,Marié(e),3,3464,106267,Désert,56,0,SUV,Essence,Automatique,4,4,1,4
175,63,Femme,Célibataire,1,2376,47538,Autoroute,29,0,Compacte,Essence,Manuelle,3,2,4,1
176,35,Femme,Célibataire,0,2722,41335,Montagne,103,0,Pick up,Essence,Manuelle,2,4,1,2
177,28,Homme,Célibataire,0,1445,40216,Montagne,59,0,SUV,Essence,Automatique,5,2,4,3
178,48,Femme,Marié(e),0,1404,40000,Désert,68,1,Pick up,Hybride,Manuelle,2,2,3,1
179,23,Femme,Célibataire,0,2504,52360,Ville,23,0,Citadine,Hybride,Manuelle,1,2,4,5
180,45,Femme,Célibataire,0,2396,62121,Campagne,60,0,Pick up,Essence,Automatique,5,1,1,3
181,25,Femme,Marié(e),2,2601,61049,Désert,57,0,SUV,Diesel,Manuelle,1,3,1,5
182,56,Femme,Célibataire,0,14659,408445,Autoroute,121,0,Pick up,Diesel,Automatique,2,1,4,1
183,41,Homme,Célibataire,0,6185,154181,Autoroute,12,1,Minibus,Electrique,Automatique,3,2,3,1
184,43,Femme,Célibataire,0,12948,356725,Désert,45,1,Pick up,Electrique,Automatique,4,5,2,3
185,38,Homme,Marié(e),2,2984,44913,Sport,50,0,Coupé,Diesel,Automatique,4,3,4,2
186,57,Femme,Célibataire,0,8742,178556,Ville,107,0,Compacte,Essence,Automatique,2,2,5,1
187,51,Femme,Marié(e),1,2770,41991,Campagne,55,1,Pick up,Electrique,Automatique,4,3,5,4
188,56,Homme,Célibataire,1,3118,68372,Sport,140,1,Coupé,Electrique,Automatique,4,3,1,2
189,37,Femme,Célibataire,0,8085,136317,Campagne,134,0,Utilitaire,Hybride,Manuelle,4,1,5,1
190,62,Femme,Célibataire,0,1435,40000,Autoroute,24,0,Coupé,Hybride,Manuelle,3,4,3,2
191,30,Homme,Célibataire,0,2565,44668,Autoroute,45,1,Utilitaire,Hybride,Manuelle,4,3,1,1
192,60,Homme,Célibataire,0,1916,65849,Désert,147,1,SUV,Electrique,Manuelle,2,1,4,4
193,57,Homme,Célibataire,0,5490,83662,Sport,71,0,Coupé,Diesel,Automatique,4,3,1,5
194,23,Homme,Célibataire,0,5007,165739,Sport,115,1,Cabriolet,Essence,Automatique,4,1,2,5
195,53,Homme,Célibataire,0,1666,40000,Désert,127,0,SUV,Essence,Automatique,3,4,4,5
196,27,Femme,Célibataire,0,3053,61007,Sport,149,1,Coupé,Hybride,Manuelle,4,5,4,3
197,46,Femme,Célibataire,0,2050,40000,Désert,141,0,Pick up,Diesel,Automatique,1,2,2,3
198,36,Femme,Célibataire,0,6386,126002,Autoroute,53,1,Coupé,Essence,Manuelle,5,5,2,5
199,56,Femme,Célibataire,0,3364,65181,Plage,50,1,Monospace,Essence,Manuelle,5,2,2,3
200,25,Homme,Célibataire,0,1354,43232,Sport,82,1,Cabriolet,Essence,Manuelle,4,5,1,3
201,30,Homme,Marié(e),1,2895,81012,Campagne,80,1,Utilitaire,Electrique,Automatique,5,2,4,3
202,30,Homme,Marié(e),3,9916,317462,Sport,149,0,Minibus,Essence,Automatique,5,3,5,2
203,53,Homme,Célibataire,0,2208,40533,Ville,94,1,Compacte,Hybride,Automatique,3,2,2,1
204,28,Homme,Célibataire,0,1581,51684,Désert,46,1,Pick up,Electrique,Manuelle,1,4,5,2
205,50,Homme,Marié(e),0,1969,67011,Ville,91,1,Compacte,Diesel,Manuelle,2,1,5,1
206,23,Femme,Divorcé(e),0,6074,97615,Autoroute,81,0,Utilitaire,Diesel,Manuelle,5,5,3,3
207,28,Homme,Célibataire,0,1123,40000,Désert,48,1,SUV,Electrique,Manuelle,2,1,1,2
208,62,Femme,Divorcé(e),1,2528,61730,Montagne,52,1,Pick up,Essence,Manuelle,2,3,4,3
209,24,Femme,Célibataire,0,12745,206886,Sport,146,0,Coupé,Essence,Manuelle,5,4,5,2
210,46,Femme,Divorcé(e),1,12884,420444,Désert,42,0,Pick up,Essence,Manuelle,1,5,5,5
211,50,Homme,Divorcé(e),0,1689,40000,Désert,22,0,SUV,Hybride,Automatique,2,5,3,3
212,46,Femme,Marié(e),3,950,40000,Plage,30,0,Minibus,Hybride,Automatique,4,2,2,5
213,58,Homme,Marié(e),3,10233,207553,Montagne,107,0,Monospace,Hybride,Automatique,2,3,4,2
214,47,Femme,Marié(e),0,2000,65881,Ville,39,1,Compacte,Electrique,Manuelle,3,4,1,2
215,41,Femme,Marié(e),1,13412,374343,Campagne,136,0,Pick up,Diesel,Manuelle,4,5,3,1
216,26,Femme,Marié(e),1,12090,393972,Ville,17,1,Compacte,Diesel,Automatique,1,2,1,4
217,34,Femme,Célibataire,0,1407,40273,Campagne,94,1,Pick up,Hybride,Manuelle,2,4,5,5
218,32,Femme,Marié(e),2,2483,40000,Sport,10,0,Coupé,Diesel,Automatique,2,3,4,5
219,52,Homme,Marié(e),2,1933,52513,Autoroute,124,1,Citadine,Hybride,Manuelle,3,4,3,2
220,65,Femme,Marié(e),0,9632,252639,Plage,75,1,Cabriolet,Electrique,Manuelle,1,4,1,3
221,62,Femme,Marié(e),1,14174,297311,Campagne,11,1,Utilitaire,Diesel,Automatique,5,4,3,2
222,40,Femme,Divorcé(e),1,13053,380643,Plage,81,1,Utilitaire,Electrique,Automatique,5,4,3,5
223,32,Homme,Célibataire,0,12660,383070,Campagne,112,1,Utilitaire,Electrique,Automatique,2,3,2,3
224,43,Femme,Célibataire,0,11210,180184,Montagne,81,1,SUV,Hybride,Automatique,5,1,4,5
225,25,Homme,Célibataire,0,3232,106193,Désert,85,1,SUV,Electrique,Automatique,1,4,3,2
226,62,Homme,Célibataire,0,6263,166129,Campagne,114,1,Pick up,Essence,Automatique,5,4,4,4
227,46,Homme,Célibataire,0,957,40000,Sport,38,0,Coupé,Essence,Automatique,2,2,3,3
228,46,Femme,Célibataire,0,2091,50431,Plage,53,1,Cabriolet,Electrique,Manuelle,2,3,4,3
229,32,Femme,Célibataire,0,6961,206613,Plage,141,0,Minibus,Diesel,Automatique,3,1,4,3
230,60,Homme,Marié(e),2,1374,40000,Désert,112,1,SUV,Electrique,Manuelle,2,2,1,3
231,64,Homme,Marié(e),1,1461,40000,Ville,56,1,Minibus,Essence,Manuelle,1,1,4,2
232,55,Homme,Célibataire,0,3145,78395,Campagne,33,1,Utilitaire,Hybride,Manuelle,2,1,1,1
233,31,Homme,Marié(e),0,7693,214532,Désert,79,1,Pick up,Electrique,Manuelle,1,1,2,1
234,45,Femme,Célibataire,0,4252,64602,Campagne,28,1,Utilitaire,Diesel,Manuelle,3,4,5,3
235,43,Homme,Célibataire,0,2479,71390,Désert,111,1,Pick up,Diesel,Automatique,2,1,2,1
236,58,Femme,Célibataire,0,1018,40000,Sport,21,1,Coupé,Hybride,Manuelle,1,4,4,1
237,63,Femme,Célibataire,0,3261,96119,Campagne,103,1,Utilitaire,Electrique,Automatique,4,2,4,3
238,31,Homme,Célibataire,1,2822,90409,Sport,17,0,Coupé,Essence,Manuelle,3,2,3,3
239,57,Femme,Célibataire,0,3247,77804,Sport,108,1,Cabriolet,Hybride,Manuelle,1,4,1,1
240,24,Homme,Marié(e),3,13946,294148,Plage,121,1,Minibus,Diesel,Manuelle,3,3,1,2
241,57,Femme,Marié(e),1,1299,40000,Campagne,32,1,SUV,Electrique,Manuelle,3,5,5,3
242,24,Homme,Célibataire,0,10205,174905,Plage,91,0,Utilitaire,Diesel,Automatique,4,2,4,2
243,48,Homme,Divorcé(e),2,2745,66285,Plage,115,1,Minibus,Diesel,Manuelle,1,5,1,5
244,54,Homme,Marié(e),1,5197,118221,Plage,106,1,Cabriolet,Electrique,Manuelle,4,5,2,3
245,43,Femme,Célibataire,0,2998,62892,Montagne,38,0,Pick up,Diesel,Automatique,2,5,3,3
246,54,Femme,Marié(e),3,3287,86818,Montagne,11,1,Minibus,Hybride,Manuelle,4,1,5,1
247,31,Homme,Marié(e),1,6137,212773,Montagne,96,1,Pick up,Diesel,Automatique,3,2,5,1
248,28,Homme,Marié(e),2,2078,59968,Ville,69,0,Pick up,Hybride,Manuelle,3,5,1,1
249,61,Femme,Marié(e),3,14111,315448,Plage,52,0,Minibus,Diesel,Automatique,3,4,2,1
250,54,Homme,Célibataire,0,1432,40000,Sport,87,0,Cabriolet,Essence,Manuelle,4,2,1,2
251,62,Femme,Célibataire,0,2201,56142,Campagne,28,1,Utilitaire,Essence,Automatique,4,5,5,4
252,36,Homme,Marié(e),1,3432,87893,Plage,67,0,Berline,Essence,Manuelle,4,2,5,5
253,65,Femme,Célibataire,0,1950,50319,Autoroute,87,1,Berline,Electrique,Manuelle,4,1,3,2
254,54,Homme,Divorcé(e),0,12315,316053,Montagne,116,0,SUV,Diesel,Automatique,4,1,2,5
255,65,Homme,Célibataire,0,1200,40000,Sport,108,1,Cabriolet,Essence,Automatique,3,4,4,4
